Date,Price,SMA_20,SMA_50,EMA_20,BB_std,BB_upper,BB_lower,RSI_14,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Daily_Return,Momentum_10,SMA_20_lag1,SMA_50_lag1,EMA_20_lag1,BB_upper_lag1,BB_lower_lag1,RSI_14_lag1,MACD_lag1,MACD_Signal_lag1,Daily_Return_lag1,Momentum_10_lag1,Compound_Sentiment
2023-09-08,4457.49,4444.078,4478.2858,4463.28567176741,49.7372858761288,4543.55257175226,4344.60342824774,49.2889112123012,4465.12373317955,4462.24469255262,2.87904062692905,-0.423258293317998,3.30229892024705,0.0014266008258556,81.1799999999994,4444.645,4476.6732,4463.89574247977,4544.56971323862,4344.72028676138,48.3081518137842,3.88661670991041,-1.24883302337976,-0.0032113009127796,15.1300000000001,-0.402764022172917
2023-09-11,4487.46,4445.2485,4480.1062,4465.58798874195,50.5016259535804,4546.25175190716,4344.24524809284,53.7491474517922,4468.56008192116,4464.11249310428,4.44758881687903,0.550911128721408,3.89667768815763,0.0067235148031741,81.75,4444.078,4478.2858,4463.28567176741,4543.55257175226,4344.60342824774,49.2889112123012,2.87904062692905,-0.423258293317998,0.0014266008258556,81.1799999999994,-0.0422414190834388
2023-09-12,4461.9,4443.8575,4480.3366,4465.2367517189,49.5871008137523,4543.03170162751,4344.6832983725,49.731727242881,4467.53545393329,4463.94860472618,3.58684920710402,1.15809874439793,2.42875046270609,-0.0056958724980279,28.5899999999992,4445.2485,4480.1062,4465.58798874195,4546.25175190716,4344.24524809284,53.7491474517922,4.44758881687903,0.550911128721408,0.0067235148031741,81.75,-0.203465938596337
2023-09-13,4467.44,4445.3365,4480.5736,4465.44658488853,49.839292391251,4545.0150847825,4345.6579152175,50.5936962341968,4467.52076871278,4464.20722659832,3.31354211446342,1.58918741841103,1.72435469605239,0.001241623523611,-30.1900000000005,4443.8575,4480.3366,4465.2367517189,4543.03170162751,4344.6832983725,49.731727242881,3.58684920710402,1.15809874439793,-0.0056958724980279,28.5899999999992,0.002916393759237
2023-09-14,4505.1,4450.375,4481.7392,4469.22310061343,50.5639561140419,4551.50291222808,4349.24708777192,56.1040261585252,4473.30218891081,4467.23632092437,6.06586798644639,2.4845235320181,3.58134445442829,0.0084298837813157,-9.76999999999953,4445.3365,4480.5736,4465.44658488853,4545.0150847825,4345.6579152175,50.5936962341968,3.31354211446342,1.58918741841103,0.001241623523611,-30.1900000000005,0.0076282519019312
2023-09-15,4450.32,4454.373,4482.5138,4467.42280531692,46.9352758258663,4548.24355165173,4360.50244834827,47.7598316186905,4469.76646753992,4465.98326011516,3.78320742476353,2.74426031056719,1.03894711419634,-0.0121595525071587,-57.3400000000001,4450.375,4481.7392,4469.22310061343,4551.50291222808,4349.24708777192,56.1040261585252,6.06586798644639,2.4845235320181,0.0084298837813157,-9.76999999999953,-0.0672713187523186
2023-09-18,4453.53,4458.564,4483.6054,4466.09968100102,42.5113481320937,4543.58669626419,4373.54130373581,48.245573533515,4467.26854945686,4465.06079640292,2.20775305393272,2.63695885924029,-0.429205805307574,0.0007212964460983,-62.2400000000007,4454.373,4482.5138,4467.42280531692,4548.24355165173,4360.50244834827,47.7598316186905,3.78320742476353,2.74426031056719,-0.0121595525071587,-57.3400000000001,-0.284531682995813
2023-09-19,4443.95,4460.773,4484.2938,4463.99018757235,40.3904109387062,4541.55382187741,4379.99217812259,46.8456151717229,4463.68108030965,4463.49703370641,0.184046603237221,2.14637640803968,-1.96232980480246,-0.0021511026084926,-52.8800000000001,4458.564,4483.6054,4466.09968100102,4543.58669626419,4373.54130373581,48.245573533515,2.20775305393272,2.63695885924029,0.0007212964460983,-62.2400000000007,-0.332048078191777
2023-09-20,4402.2,4461.5055,4483.5526,4458.10540780356,39.1049721533382,4539.71544430668,4383.29555569332,41.2305770114701,4454.2224525697,4458.95651269112,-4.73406012141822,0.770289102148099,-5.50434922356632,-0.0093947951709627,-63.2799999999997,4460.773,4484.2938,4463.99018757235,4541.55382187741,4379.99217812259,46.8456151717229,0.184046603237221,2.14637640803968,-0.0021511026084926,-52.8800000000001,0.0721352242288135
2023-09-21,4330,4456.205,4480.7094,4445.90489277465,48.7402071676446,4553.68541433529,4358.72458566471,33.7063641233152,4435.11130602052,4449.4041784177,-14.2928723971872,-2.24234319771897,-12.0505291994683,-0.016400890463859,-121.14,4461.5055,4483.5526,4458.10540780356,4539.71544430668,4383.29555569332,41.2305770114701,-4.73406012141822,0.770289102148099,-0.0093947951709627,-63.2799999999997,-0.640892206189724
2023-09-22,4320.06,4453.3925,4476.9098,4433.91966489135,54.8349653026689,4563.06243060534,4343.72256939466,32.8184049426264,4417.41110509428,4439.82312816454,-22.4120230702574,-6.27627917222666,-16.1357438980308,-0.0022956120092377,-137.429999999999,4456.205,4480.7094,4445.90489277465,4553.68541433529,4358.72458566471,33.7063641233152,-14.2928723971872,-2.24234319771897,-0.016400890463859,-121.14,-0.293789335855228
2023-09-25,4337.44,4449.979,4473.5502,4424.73112537788,59.8546119140077,4569.68822382802,4330.26977617199,35.9934757094775,4405.1078581567,4432.23919274494,-27.1313345882436,-10.44729025543,-16.6840443328135,0.0040230922718664,-150.02,4453.3925,4476.9098,4433.91966489135,4563.06243060534,4343.72256939466,32.8184049426264,-22.4120230702574,-6.27627917222666,-0.0022956120092377,-137.429999999999,0.0033920981610814
2023-09-26,4273.53,4441.99,4468.565,4410.33101819904,71.6896925719498,4585.3693851439,4298.6106148561,30.3190444742303,4384.86511074798,4420.48295624532,-35.6178454973415,-15.4814013038123,-20.1364441935291,-0.0147344977682689,-188.37,4449.979,4473.5502,4424.73112537788,4569.68822382802,4330.26977617199,35.9934757094775,-27.1313345882436,-10.44729025543,0.0040230922718664,-150.02,-0.633337722718716
2023-09-27,4274.51,4430.834,4462.9556,4397.39568313246,79.5094971090518,4589.8529942181,4271.8150057819,30.4999806546672,4367.88740140214,4409.67014467159,-41.7827432694567,-20.7416696969412,-21.0410735725155,0.0002293186195019,-192.929999999999,4441.99,4468.565,4410.33101819904,4585.3693851439,4298.6106148561,30.3190444742303,-35.6178454973415,-15.4814013038123,-0.0147344977682689,-188.37,-0.172826799830156
2023-09-28,4299.7,4420.0755,4457.6352,4388.09133235794,82.0566597236811,4584.18881944736,4255.96218055264,35.1605344201064,4357.39703195565,4401.52420802925,-44.127176073599,-25.4187709722728,-18.7084051013262,0.0058930731241708,-205.400000000001,4430.834,4462.9556,4397.39568313246,4589.8529942181,4271.8150057819,30.4999806546672,-41.7827432694567,-20.7416696969412,0.0002293186195019,-192.929999999999,-0.258188824240978
2023-09-29,4288.05,4409.095,4452.6988,4378.56358641909,84.3803647339802,4577.85572946796,4240.33427053204,34.0241574652143,4346.72825780863,4393.1187111382,-46.3904533295663,-29.6131074437315,-16.7773458858348,-0.0027094913598622,-162.27,4420.0755,4457.6352,4388.09133235794,4584.18881944736,4255.96218055264,35.1605344201064,-44.127176073599,-25.4187709722728,0.0058930731241708,-205.400000000001,-0.176373051449416
2023-10-02,4288.39,4397.726,4447.7398,4369.97562580775,84.5688543141499,4566.8637086283,4228.5882913717,34.0911071662008,4337.75314122269,4385.36102883166,-47.6078876089759,-33.2120634767804,-14.3958241321956,7.92901202177898E-05,-165.139999999999,4409.095,4452.6988,4378.56358641909,4577.85572946796,4240.33427053204,34.0241574652143,-46.3904533295663,-29.6131074437315,-0.0027094913598622,-162.27,0.0489842369764422
2023-10-03,4229.45,4384.357,4441.236,4356.59223287368,89.0908871883532,4562.53877437671,4206.17522562329,28.6613938323523,4321.09111949612,4373.81206373302,-52.7209442369012,-37.1138396288045,-15.6071046080967,-0.0137440857757808,-214.5,4397.726,4447.7398,4369.97562580775,4566.8637086283,4228.5882913717,34.0911071662008,-47.6078876089759,-33.2120634767804,7.92901202177898E-05,-165.139999999999,-0.357373248593047
2023-10-04,4263.75,4374.2705,4435.1618,4347.75011545714,90.8257136947777,4555.92192738956,4192.61907261045,35.1359300232257,4312.26940880441,4365.65931827132,-53.3899094669068,-40.369053596425,-13.0208558704818,0.0081098015108347,-138.45,4384.357,4441.236,4356.59223287368,4562.53877437671,4206.17522562329,28.6613938323523,-52.7209442369012,-37.1138396288045,-0.0137440857757808,-214.5,-0.0845279444733427
2023-10-05,4258.19,4364.623,4428.9906,4339.2205806517,92.4636976901429,4549.55039538029,4179.69560461972,34.587938207408,4303.94949975758,4357.698628029,-53.74912827142,-43.045068531424,-10.704059739996,-0.001304016417473,-71.8100000000004,4374.2705,4435.1618,4347.75011545714,4555.92192738956,4192.61907261045,35.1359300232257,-53.3899094669068,-40.369053596425,0.0081098015108347,-138.45,-0.409185605123639
2023-10-06,4308.5,4357.1735,4424.4124,4336.29481106582,90.5703515027053,4538.31420300541,4176.03279699459,43.2177172471203,4304.64957671795,4354.05428521203,-49.4047084940848,-44.3169965239562,-5.08771197012868,0.0118148790918209,-11.5600000000004,4364.623,4428.9906,4339.2205806517,4549.55039538029,4179.69560461972,34.587938207408,-53.74912827142,-43.045068531424,-0.001304016417473,-71.8100000000004,-0.0846825485960358
2023-10-09,4335.66,4349.5835,4419.481,4336.23435286907,85.2836997614889,4520.15089952298,4179.01610047702,47.2627275647717,4309.42041106903,4352.6917455667,-43.2713344976646,-44.1078641186979,0.836529621033243,0.0063038180341186,-1.77999999999975,4357.1735,4424.4124,4336.29481106582,4538.31420300541,4176.03279699459,43.2177172471203,-49.4047084940848,-44.3169965239562,0.0118148790918209,-11.5600000000004,-0.184760680776976
2023-10-10,4358.24,4344.4005,4414.8666,4338.33012878631,81.1481907880001,4506.696881576,4182.104118424,50.424651491815,4316.93111705841,4353.10272737657,-36.1716103181589,-42.5206133585901,6.3490030404312,0.0052079729499083,84.71,4349.5835,4419.481,4336.23435286907,4520.15089952298,4179.01610047702,47.2627275647717,-43.2713344976646,-44.1078641186979,0.0063038180341186,-1.77999999999975,-0.0990444069728255
