Date,Sentiment
2008-03-08,-0.6145193520933387
2008-03-09,-0.7877744645811613
2008-03-10,-0.961029577068984
2008-03-11,0.253127306699753
2008-03-12,0.18454274960926612
2008-03-13,0.11595819251877926
2008-03-14,0.0473736354282924
2008-03-15,-0.02121092166219446
2008-03-16,-0.08979547875268129
2008-03-17,-0.15838003584316818
2008-03-18,-0.226964592933655
2008-03-19,-0.306994305095739
2008-03-20,-0.387024017257823
2008-03-21,-0.467053729419907
2008-03-22,-0.547083441581991
2008-03-23,-0.6271131537440751
2008-03-24,-0.707142865906159
2008-03-25,-0.787172578068243
2008-03-26,-0.867202290230327
2008-03-27,-0.947232002392411
2008-03-28,-0.949703726141403
2008-03-29,-0.952175449890395
2008-03-30,-0.954647173639387
2008-03-31,-0.957118897388379
2008-04-01,-0.959590621137371
2008-04-02,-0.962062344886363
2008-04-03,-0.7719853140413764
2008-04-04,-0.5819082831963899
2008-04-05,-0.39183125235140337
2008-04-06,-0.20175422150641675
2008-04-07,-0.0116771906614303
2008-04-08,0.015188283442209224
2008-04-09,0.04205375754584875
2008-04-10,0.06891923164948827
2008-04-11,0.0957847057531278
2008-04-12,0.12265017985676732
2008-04-13,0.14951565396040684
2008-04-14,0.17638112806404638
2008-04-15,0.2032466021676859
2008-04-16,0.2301120762713254
2008-04-17,0.18986708895924195
2008-04-18,0.1496221016471585
2008-04-19,0.10937711433507505
2008-04-20,0.0691321270229916
2008-04-21,0.028887139710908144
2008-04-22,-0.0113578476011753
2008-04-23,-0.539030455052852
2008-04-24,-0.944854985922575
2008-04-25,0.044918864965439
2008-04-26,0.0546222306787969
2008-04-27,0.06432559639215481
2008-04-28,0.07402896210551271
2008-04-29,0.0837323278188706
2008-04-30,0.0934356935322285
2008-05-01,0.10313905924558642
2008-05-02,0.11284242495894431
2008-05-03,0.1225457906723022
2008-05-04,0.13224915638566012
2008-05-05,0.141952522099018
2008-05-06,0.700933679938317
2008-05-07,-0.93479873239994
2008-05-08,-0.950098151341081
2008-05-09,-0.6729268000150722
2008-05-10,-0.3957554486890634
2008-05-11,-0.11858409736305464
2008-05-12,0.15858725396295403
2008-05-13,-0.09245078405365348
2008-05-14,-0.343488822070261
2008-05-15,-0.5945268600868685
2008-05-16,-0.845564898103476
2008-05-17,-0.6041591597720984
2008-05-18,-0.3627534214407208
2008-05-19,-0.12134768310934319
2008-05-20,0.12005805522203439
2008-05-21,0.361463793553412
2008-05-22,0.1827315841801465
2008-05-23,0.003999374806881
2008-05-24,-0.0008182819001376247
2008-05-25,-0.00563593860715625
2008-05-26,-0.010453595314174877
2008-05-27,-0.0152712520211935
2008-05-28,-0.42256368603557326
2008-05-29,-0.829856120049953
2008-05-30,-0.8587504550814625
2008-05-31,-0.887644790112972
2008-06-01,-0.9165391251444814
2008-06-02,-0.945433460175991
2008-06-03,-0.4838495096191762
2008-06-04,-0.022265559062361495
2008-06-05,0.0844406951218843
2008-06-06,-0.05787960439920441
2008-06-07,-0.20019990392029313
2008-06-08,-0.34252020344138184
2008-06-09,-0.48484050296247055
2008-06-10,-0.530168045777828
2008-06-11,-0.5754955885931853
2008-06-12,-0.6208231314085426
2008-06-13,-0.6661506742239
2008-06-14,-0.7014595171702761
2008-06-15,-0.7367683601166523
2008-06-16,-0.7720772030630284
2008-06-17,-0.8073860460094046
2008-06-18,-0.8426948889557807
2008-06-19,-0.8780037319021569
2008-06-20,-0.913312574848533
2008-06-21,-0.6630072838161143
2008-06-22,-0.41270199278369557
2008-06-23,-0.16239670175127685
2008-06-24,0.08790858928114195
2008-06-25,-0.054908786900341344
2008-06-26,-0.19772616308182464
2008-06-27,-0.34054353926330794
2008-06-28,-0.4833609154447912
2008-06-29,-0.6261782916262745
2008-06-30,-0.7689956678077579
2008-07-01,-0.911813043989241
2008-07-02,-0.2594192493706945
2008-07-03,-0.1996315278112891
2008-07-04,-0.1398438062518837
2008-07-05,-0.08005608469247832
2008-07-06,-0.020268363133072925
2008-07-07,0.0395193584263325
2008-07-08,-0.4501660685054958
2008-07-09,-0.939851495437324
2008-07-10,-0.7864991649985312
2008-07-11,-0.6331468345597384
2008-07-12,-0.4797945041209456
